すみます,住みます,to live
ところ,所,place
じゅうしょ,住所,address
だいどころ,台所,kitchen
ばしょ,場所,place
とうきょう,東京,tokyo
つごうがいい,都合がいい,convenient
しゅと,首都,capital
いちば,市場,market
しちょう,市長,mayor
まち,町,town
むら,村,village
あかるい,明るい,"bright,cheerful"
あした,明日,tomorrow
くらい,暗い,dark
とおい,遠い,far
ちかい,近い,near
きんじょ,近所,neighborhood
つよい,強い,strong
べんきょう,勉強,studying
きょうふう,強風,strong wind
よわい,弱い,weak
おもい,重い,heavy
じゅうだいな,重大な,serious
たいじゅう,体重,body weight
かるい,軽い,light
けいしょく,軽食,light mean/snack
ふとい,太い,fat
ほそい,細い,slender
こまかい,細かい,fine
とくに,特に,especially
とくべつな,特別な,special
とっきゅう,特急,limited express
わかれる,別れる,separate
べつべつに,別々に,separetely
ゆうめいな,有名な,famous
べんりな,便利な,convenient
ふべんな,不便な,incovenient
ふそくします,不足します,run short
ふあんな,不安な,anxious
きる,切る,to cut
たいせつ,大切,important
しんせつ,親切,kind
すきな,好きな,like
きゅうに,急に,suddenly
いそぎます,急ぎます,hurry
ひくい,低い,low
ひろい,広い,spacious
ひろば,広場,plaza
みじかい,短い,short
たんじかん,短時間,short time
よい,良い,good
わるい,悪い,bad
ただしい,正しい,"correct, right"
おしょうがつ,お正月,the New Year
かわります,変わります,to change
へんな,変な,strange
たいへんな,大変な,"hard, tough"
あか,赤,red
あお,青,blue
くろ,黒,black
えいが,映画,movie
けいかく,計画,plan
おんがく,音楽,music
おと,音,sound
たのしい,楽しい,enjoyable
らくな,楽な,easy
うたいます,歌います,to sing
かしゅ,歌手,singer
しゃしん,写真,a photograph
まんなか,真ん中,midmost
たび,旅,trip
りょこう,旅行,a trip
せわをすろ,世話をする,to take care
せかい,世界,world
しごと,仕事,job
ようじ,用事,"errand, something to do"
だいじな,大事な,important
ぎんこう,銀行,bank
かいしゃいん,会社員,company employee
てんいん,手人,shop staff
いしゃ,医者,doctor
はたらきます,働きます,to work
ほんや,本屋,book store
おくじょう,屋上,roof top
さんぎょう,産業,industry
こうぎょう,工業,manufacture
ほんじつきゅうぎょう,本日休業,closed today
はやし,林,"wood, grove"
もり,森,forest
ちず,地図,map
ちかてつ,地下鉄,subway
いけ,池,pond
でんち,電池,battery
うみ,海,the sea
かいがい,海外,overseas
せいよう,西洋,the West
とうよう,東洋,the East
ゆき,雪,snow
ひかり,光,light
だい,台,"counting(machine, vehicle)"
かぜ,風,wind
たいふう,台風,typhoon
きせつ,季節,season
はる,春,spring
なつ,夏,summer
あき,秋,autumn
ふゆ,冬,winter
あつい,暑い,hot(weather)
さむい,寒い,cold(temperature)
あたたかい,暖かい,warm
すずしい,涼しい,cool
からだ,体重,body
あたま,頭,head
かお,顔,face
くび,首,neck
しゅしょう,首相,Prime minister
あんしんします,安心します,to be relieved
しんぱいします,心配します,to worry
ちゅうしん,中心,center
こえ,声,voice
おおこえ,大声,loud voice
びょうき,病気,illness
きゅうびょう,急病,sudden illness
くすり,薬,medicine
かがく,科学,science
しゃない,社内,within a company
けさ,今朝,this morning
ちょうしょく,朝食,breakfast
ひる,昼,noon
ちゅうしょく,昼食,lunch
よる,夜,night
こんや,今夜,tonight
やしょく,夜食,night meal
ゆうがた,夕方,evening
ゆうしょく,夕食,supper
こんばん,今晩,tonight
まいばん,毎晩,everynight
よみかた,読み方,how to read
とけい,時計,"watch, clock"
はかります,計ります,to measure
ごうけい,合計,total
げつようび,月曜日,Monday
いじょう,以上,more than
いか,以下,less than
いがい,以外,except
いぜん,以前,previously
こんど,今度,next time
とまります,止まります,to stop
ちゅうしする,中止する,to cancel
あるきます,歩きます,to walk
はしります,走ります,to run
おきます,起きます,to get up
はやおき,早起き,early riser
きもち,気持ち,feeling
もちます,持ちます,to hold
まちます,待ちます,to wait
まちあわせ,待ち合わせ,rendezvous
しゃっきん,借金,debt
かります,借ります,to borrow
かします,貸します,to lend
はじめます,始めます,to begin
かいしします,開始します,to start
しはつでんしゃ,始発電車,first train
おわります,終わります,to end
しゅうでん,終電,last train
いえ,家,house
がか,画家,painter
かぞく,家族,family
わたし,私,I
じぶん,自分,myself
じどう,自動,automatic
おや,親,parent
ははおや,母親,(my)mother
りょうしん,両親,parents
りょうほう,両方,both
あに,兄,(my)elder brother
おにいさん,お兄さん,elder brother
おとうと,弟,(my)younger brother
きょうだい,兄弟,brothers
あね,姉,(my)eldder sister
おねえさん,い姉さん,elder sister'
いもうと,妹,(my) younger sister
しまい,姉妹,sisters
せいかつ,生活,life
まわします,回します,"to slew around, turn around"
ぜんかい,前回,the last time
しゅじん,主人,(my) husband
もちぬし,持ち主,owner
いろ,色,color
かたち,形,shape
にんぎょう,人形,doll
しなもの,品物,goods
しょくりょうひん,食料品,(food) groceries
こくみん,国民,citizen of the state
ようふく,洋服,Western clothing
いめ,犬,dog
おなじ,同じ,same
どうじに,同時に,at the same time
いめ,米,rice
べいこく,米国,USA
りょうきん,料金,"fee, charge"
りょうり,料理,cooking
むりな,無理な,impossible
ぎゅうにく,牛肉,beef
とり,鳥,bird
やさい,野菜,vegitable
おちゃ,お茶,tea
ばんごはん,晩御飯,dinner
ゆうはん,夕飯,dinner
あじ,味,taste
いみ,意味,meaning
かわります,代わります,take someone's place
ガスだい,ガス代,gas charge
つかいます,使います,to use
しようちゅう,使用中,in the middle of using
つくります,作ります,to make
さくぶん,作文,compostion
べんかします,変化します,to change
ふんか,文化,culture
しんじます,信じます,to believe
すすみます,進みます,to proceed
せんしんこく,先進国,advanced nation
おくります,送ります,to send
そうしん,送信,send(email)
かえします,返します,to return
へんしん,返信,reply(email)
あらいます,洗います,to wash
おてあらい,お手洗い,rest room
ちゅういします,注意します,to pay attention
ちゅうもん,注文,order
こうじょう,工場,factory
たてます,建てます,to build
たてもの,建物,building
どうぶつ,動物,animal
にもつ,荷物,baggage
びょういん,病院,hospital
にゅういんします,入院します,to be hospitalized
えいがかん,映画館,movie theater
たいしかん,大使館,embassy
としょかん,図書館,library
きょうしつ,教室,classroom
まちあいしつ,待合室,waiting room
こうじ,工事,construction
３ごうしつ,3号室,Room No. 3
こうつう,交通,traffic
こうさてん,交差点,"crossing, crossroads"
とおります,通ります,to go through
かよいます,通います,to commute
つうがく,通学,commute to school
うごきます,動きます,to move
うんどう,運動,exercise
じどうしゃ,自動車,car
のります,乗ります,to get on
おります,降ります,to get off
ふります,降ります,to rain
はこびます,運びます,"to transport, to carry"
うんてんしゃ,運転者,driver
じてんしゃ,自転車,bicycle
かえります,帰ります,to return
きこく,帰国,returning one's country
しゅっぱつします,出発します,to depart
はっけん,発見,discovery
はつめい,発明,invention
きます,着ます,to put on clothes
つきます,着きます,to arrive
ちゃくしんメール,着信メール,incoming email
かんじ,漢字,kanji
おしえます,教えます,to teach
きょうかい,教会,church
ならいます,習います,to learn
れんしゅう,練習,practice
えいご,英語,English
かんがえます,考えます,to consider
けんきゅう,研究,research
もんだい,問題,"question, problem"
わだい,話題,topic
しけん,試験,exam
しあい,試合,"game, match"
ためします,試します,to try
しつもん,質問,"question, problem"
ひんしつ,品質,quality
まにあいます,間に合います,to be in time
こたえます,答えます,to answer
てがみ,手紙,letter 
コピーようし,コピー用紙,copy paper
いけん,意見,opinion
よういします,用意します,to prepare
